Name,Formula,DeltaMass,MW,m/z,RT,Class of compounds,row_colors,Cluster,SilhouetteScore,HC_Cluster,HC_Silhouette,PCA_Silhouette,OPLS_Silhouette,Average_Silhouette
4-Aminobenzoic acid,C7 H7 N O2,-0.5,137.04761,138.05489,0.898,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.5002067344423026,2,0.5778854230141703,0.55503786262746,0.7227116068272518,0.618544964156294
"(E,E)-?-Farnesene",C15 H24,0.03,204.18781,205.19508,11.723,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.39218974224326203,2,0.39203976629004383,0.5574521827762363,0.4366927300164274,0.46206155969423585
DL-Aspartic acid,C4 H7 N O4,-0.57,133.03743,134.04471,0.824,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.48085693830208404,2,0.5796943778884107,0.5712787166430565,0.7242843415732786,0.6250858120349152
Dihydrocodeine,C18 H23 N O3,-0.89,301.16753,302.1748,10.477,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.5168344675821184,2,0.4679092066939854,0.5930273653128855,0.5975497857602904,0.552828785922387
DL-Arginine,C6 H14 N4 O2,-0.66,174.11156,175.11884,0.805,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.4617105405168262,2,0.6010663808226209,0.5848697057003612,0.7230376266107696,0.6363245710445838
Piperlongumine,C17 H19 N O5,-0.56,317.12615,318.13342,9.196,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.5383402944619299,2,0.5458951556792925,0.5972201071067612,0.5021302147266153,0.5484151591708897
Sanggenone H,C20 H18 O6,-0.6,354.11012,355.1174,9.897,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.5274823185306172,2,0.47217819352628804,0.38120845415900184,0.5282807799794618,0.46055580922158385
L-(+)-Valine,C5 H11 N O2,0.02,117.07898,118.08626,0.99,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.5019621487628493,2,0.5172143135360503,0.3961633586575715,0.6771215422625068,0.5301664048187095
Myricanone,C21 H24 O5,-0.35,356.16225,357.16953,7.964,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.49858585413323403,2,0.5195071003273022,0.49073589368613635,0.24299781802968576,0.41774693734770807
Ethylmorphine,C19 H23 N O3,-0.07,313.16777,314.17505,4.71,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.13747249965834865,2,0.5555620554576696,0.6104532507346242,0.4890040338949094,0.551673113362401
eremophilenolide,C15 H22 O2,-0.59,234.16184,469.33094,8.234,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.38427494497052345,2,0.4363696502621944,0.39143632125430455,0.3837775810475936,0.40386118418803085
Curcumene,C15 H22,-0.22,202.17211,203.17938,11.41,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.3923075780771304,2,0.44409648202528806,0.5696663705880693,0.42999339863081126,0.4812520837480563
ruscogenin,C27 H42 O4,-0.51,430.30809,431.31537,12.561,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.23469936506783212,2,0.23875699723866234,0.3275000502270463,0.3998172093049325,0.3220247522568804
Psoralen,C11 H6 O3,0.0,186.03169,187.03897,6.249,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.10835688079155344,2,0.5551553888858729,0.2696097017666749,0.43176433260004815,0.4188431410841987
6-methoxymellein,C11 H12 O4,-0.12,208.07353,209.08081,6.747,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.047818330751990566,2,0.5722884421924358,0.3891456136709508,0.3808907298731078,0.44744159524549815
DL-Tryptophan,C11 H12 N2 O2,-0.08,204.08986,205.09714,4.615,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.3163831956392167,2,0.5842135414649898,0.1660182907039111,0.3738933032944889,0.37470837848779665
L-(+)-Leucine,C6 H13 N O2,0.3,131.09467,132.10194,2.375,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.526657341931329,2,0.499016611546128,0.2070965760431655,0.44354078230070937,0.3832179899633343
N-Acetyl-L-glutamic acid,C7 H11 N O5,-0.32,189.06366,190.07094,1.21,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.5201125800052636,2,0.5838887877354983,0.4344403077268816,0.6533206962777489,0.5572165972467096
Chebulic acid,C14 H12 O11,-0.2,356.03789,357.04517,2.831,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,-0.01862091828414541,2,0.5097067236016204,0.5260150767893351,0.1969176182722743,0.41087980622107656
DL-TYROSINE,C9 H11 N O3,-0.05,181.07388,182.08116,1.889,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.5474723108741008,2,0.5620168191388235,0.27542638726334745,0.5380683975043321,0.4585038679688343
Theogallin,C14 H16 O10,-0.41,344.07421,345.08148,3.033,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,-0.03443585067944755,2,0.5404298703033897,0.4558171422618881,0.20587785086267396,0.4007082878093173
(+)-Alantolactone,C15 H20 O2,-0.31,232.14626,233.15353,8.655,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.38122541256571624,2,0.5596073708916396,0.5668111576037773,0.23747729449907984,0.4546319409981656
METHYLSUCCINIC ACID,C5 H8 O4,-0.59,132.04218,133.04944,0.866,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.4768217523632758,2,0.581071893567696,0.5735912364496406,0.7221482977275109,0.6256038092482825
Shikalkin,C16 H16 O5,-0.72,288.09957,289.10684,8.909,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.4970506735138372,2,0.5634851505451132,0.625015984059853,0.4092977994620736,0.5325996446890133
kinsenoside,C10 H16 O8,-0.7,264.08433,306.1181,1.141,Glycoside,"(0.33999999999999997, 0.86, 0.5792000000000002)",3,0.2326646527342693,2,0.5803006333076525,0.1145105111669305,0.3475335109029466,0.3474482184591765
damsin,C15 H20 O3,-0.36,248.14115,290.17487,10.189,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.5191572701706199,2,0.5093630875837504,0.6639988839633982,0.573308761916037,0.5822235778210619
Xanthohumol,C21 H22 O5,-1.4,354.14623,355.1535,9.646,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.458089929139337,2,0.33121245257287457,0.29900476084320465,0.47591056297764184,0.36870925879790706
(?)-Abietic acid,C20 H30 O2,-0.15,302.22453,303.23181,12.186,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.5177416088258857,2,0.37550228640693056,0.49539809836884696,0.5445589877884335,0.47181979085473696
"3,4,3?-Tri-O-methylellagic acid",C17 H12 O8,-0.38,344.05309,345.06036,7.551,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.48112436986106577,2,0.5452156591595773,0.5608091390026384,0.09639141746793253,0.40080540521004937
(+)-podocarpic acid,C17 H22 O3,0.38,274.157,275.16437,11.61,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.47793791236078254,2,0.3035765443502575,0.5261586704490329,0.5463927350807416,0.4587093166266773
(±)-Naringenin,C15 H12 O5,-0.47,272.06835,273.07562,8.344,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.46187659577351925,2,0.5830943802940866,0.6298936448981532,0.24530541530918765,0.4860978135004758
(E)-Ferulic acid,C10 H10 O4,0.47,194.058,195.06528,5.484,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.1611335817602784,2,0.4833356280337269,0.32629926057837344,0.4967652203497547,0.435466702987285
Tazettine,C18 H21 N O5,0.04,331.14198,332.14926,7.357,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.4551528096100664,2,0.4973038592501048,0.6180186762819322,0.10037140810993249,0.40523131454732314
O-Methyllycorenine,C19 H25 N O4,0.2,331.17842,332.1857,7.386,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.44253320797458584,2,0.46272968654895885,0.6086300369587919,0.15095643097105854,0.4074387181596031
(±)-nicotine,C10 H14 N2,0.63,162.1158,163.12308,5.152,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",3,0.2586728395641967,2,0.444361098641685,0.20240796442309864,0.43049321106435534,0.35908742470971305
Quercetin,C15 H10 O7,-0.51,302.0425,303.04977,6.904,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.39600193073367107,2,0.601678833363279,0.602470176104171,0.2779988600935195,0.49404928985365654
